Day,Month,Year,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
1,1,2006,Charter,Departure,Domestic,62
1,1,2006,Charter,Arrival,International,299
1,1,2006,Charter,Arrival,Domestic,57
1,1,2006,Charter,Departure,International,5
1,1,2006,Scheduled,Departure,International,4116
1,1,2006,Scheduled,Departure,Domestic,19661
1,1,2006,Scheduled,Arrival,International,4057
1,1,2006,Scheduled,Arrival,Domestic,19691
1,2,2006,Scheduled,Arrival,International,3409
1,2,2006,Charter,Departure,International,100
1,2,2006,Charter,Departure,Domestic,21
1,2,2006,Scheduled,Departure,Domestic,17847
1,2,2006,Scheduled,Arrival,Domestic,17833
1,2,2006,Charter,Arrival,International,101
1,2,2006,Charter,Arrival,Domestic,22
1,2,2006,Scheduled,Departure,International,3426
1,3,2006,Charter,Departure,International,5
1,3,2006,Scheduled,Arrival,Domestic,20142
1,3,2006,Charter,Arrival,International,4
1,3,2006,Charter,Departure,Domestic,47
1,3,2006,Scheduled,Arrival,International,3983
1,3,2006,Charter,Arrival,Domestic,51
1,3,2006,Scheduled,Departure,Domestic,20179
1,3,2006,Scheduled,Departure,International,3991
1,4,2006,Scheduled,Arrival,Domestic,19305
1,4,2006,Charter,Departure,Domestic,52
1,4,2006,Scheduled,Departure,International,3928
1,4,2006,Scheduled,Departure,Domestic,19347
1,4,2006,Charter,Arrival,International,2
1,4,2006,Scheduled,Arrival,International,3915
1,4,2006,Charter,Arrival,Domestic,57
1,5,2006,Scheduled,Arrival,International,4009
1,5,2006,Scheduled,Arrival,Domestic,20215
1,5,2006,Charter,Departure,International,3
1,5,2006,Scheduled,Departure,Domestic,20227
1,5,2006,Scheduled,Departure,International,4025
1,5,2006,Charter,Arrival,International,5
1,5,2006,Charter,Arrival,Domestic,26
1,5,2006,Charter,Departure,Domestic,24
1,6,2006,Scheduled,Departure,International,4067
1,6,2006,Scheduled,Departure,Domestic,20191
1,6,2006,Scheduled,Arrival,Domestic,20188
1,6,2006,Charter,Departure,Domestic,18
1,6,2006,Charter,Arrival,Domestic,18
1,6,2006,Charter,Arrival,International,1
1,6,2006,Scheduled,Arrival,International,4069
1,7,2006,Scheduled,Departure,International,4545
1,7,2006,Charter,Arrival,International,2
1,7,2006,Scheduled,Arrival,International,4522
1,7,2006,Scheduled,Departure,Domestic,20975
1,7,2006,Scheduled,Arrival,Domestic,20958
1,7,2006,Charter,Departure,Domestic,14
1,7,2006,Charter,Arrival,Domestic,16
1,8,2006,Charter,Arrival,Domestic,15
1,8,2006,Scheduled,Arrival,International,4343
1,8,2006,Scheduled,Arrival,Domestic,21377
1,8,2006,Charter,Departure,Domestic,16
1,8,2006,Scheduled,Departure,International,4368
1,8,2006,Scheduled,Departure,Domestic,21406
1,8,2006,Charter,Arrival,International,1
1,9,2006,Scheduled,Departure,International,3902
1,9,2006,Charter,Departure,Domestic,18
1,9,2006,Charter,Arrival,Domestic,24
1,9,2006,Charter,Arrival,International,1
1,9,2006,Scheduled,Departure,Domestic,19718
1,9,2006,Scheduled,Arrival,International,3860
1,9,2006,Scheduled,Arrival,Domestic,19735
1,10,2006,Scheduled,Departure,Domestic,20467
1,10,2006,Charter,Arrival,International,285
1,10,2006,Scheduled,Arrival,Domestic,20427
1,10,2006,Scheduled,Departure,International,3938
1,10,2006,Charter,Departure,Domestic,50
1,10,2006,Charter,Arrival,Domestic,48
1,10,2006,Scheduled,Arrival,International,3645
1,11,2006,Charter,Departure,Domestic,50
1,11,2006,Scheduled,Departure,Domestic,19627
1,11,2006,Scheduled,Departure,International,3757
1,11,2006,Charter,Arrival,Domestic,48
1,11,2006,Charter,Arrival,International,3
1,11,2006,Scheduled,Arrival,International,3745
1,11,2006,Charter,Departure,International,2
1,11,2006,Scheduled,Arrival,Domestic,19627
1,12,2006,Charter,Arrival,Domestic,46
1,12,2006,Charter,Arrival,International,6
1,12,2006,Charter,Departure,International,3
1,12,2006,Scheduled,Arrival,International,4126
1,12,2006,Scheduled,Arrival,Domestic,20561
1,12,2006,Charter,Departure,Domestic,44
1,12,2006,Scheduled,Departure,Domestic,20618
1,12,2006,Scheduled,Departure,International,4143
1,1,2007,Scheduled,Arrival,Domestic,20221
1,1,2007,Scheduled,Departure,Domestic,20246
1,1,2007,Charter,Departure,Domestic,42
1,1,2007,Charter,Arrival,Domestic,38
1,1,2007,Charter,Arrival,International,3
1,1,2007,Scheduled,Departure,International,4402
1,1,2007,Charter,Departure,International,3
1,1,2007,Scheduled,Arrival,International,4395
1,2,2007,Charter,Arrival,International,7
1,2,2007,Scheduled,Departure,Domestic,18238
1,2,2007,Charter,Departure,International,5
1,2,2007,Scheduled,Arrival,Domestic,18204
1,2,2007,Charter,Departure,Domestic,16
1,2,2007,Charter,Arrival,Domestic,14
1,2,2007,Scheduled,Arrival,International,3862
1,2,2007,Scheduled,Departure,International,3866
1,3,2007,Charter,Departure,Domestic,33
1,3,2007,Charter,Departure,International,4
1,3,2007,Scheduled,Departure,International,4193
1,3,2007,Charter,Arrival,Domestic,33
1,3,2007,Scheduled,Departure,Domestic,20935
1,3,2007,Scheduled,Arrival,International,4191
1,3,2007,Scheduled,Arrival,Domestic,20841
1,3,2007,Charter,Arrival,International,4
1,4,2007,Scheduled,Departure,Domestic,19903
1,4,2007,Scheduled,Arrival,Domestic,19843
1,4,2007,Charter,Arrival,Domestic,26
1,4,2007,Scheduled,Departure,International,4174
1,4,2007,Charter,Departure,Domestic,24
1,4,2007,Charter,Arrival,International,2
1,4,2007,Scheduled,Arrival,International,4159
1,5,2007,Charter,Arrival,International,1
